"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
Entrada/Salida,,,,,,
Audio,;,;,;,;,;,;
Slot SD,;,;,;,;,;,;
WIFI,;,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67,IP67
Grado de,,,,,,
Protección,;,;,;,;,IK10,;
Antivandálica,,,,,,
"",DS-1272ZJ-110-,DS-1272ZJ-110-,DS-1272ZJ-110-,,,DS-1273ZJ-130-
Soporte Pared,,,,No,DS-1273ZJ-140,
"",TRS,TRS,TRS,,,TRL
Soporte Base,DS-1280ZJ-S,DS-1280ZJ-XS,DS-1280ZJ-XS,No,No,DS-1280ZJ-M
Soporte Techo,No,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,No,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,No,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte,,,,,,
Empotrado,No,No,No,No,No,No
Alimentación,12 Vdc,12 Vdc,12 Vdc,12 Vdc,12 Vdc / 24 Vac,12 Vdc
Alto x Ancho x,,,,,,
Profundo (cm),10.98 x 10.98 x 8.55,9.00 x 9.00 x 7.93,7.93 x 7.93 x 9.00,9.30 x 11.00 x 11.00,12.41 x 14.52 x 14.52,12.38 x 13.43 x 11.02
Peso (kg),0.35,0.35,0.30,0.35,0.64,0.56
Disponibilidad,C,A+,A,C,A,B
"",,DS-2CE5AU1T-AVPIT3ZF(2.7-,DS-2CE79U7T-AIT3ZF(2.7-
"",DS-2CE76U1T-ITMF(2.8MM),,
"",,13.5MM),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx
"",HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD
Tecnología de Vídeo,,,
"",CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,30 m IR,60 m IR,60 m IR
Luz Blanca,;,;,;
WDR,Digital WDR,Digital WDR,130 dB
Iluminación Mínima,0.01lux,0.01lux,0.003lux
Análisis de Video,No,No,No
Entradas/Salidas de Alarma,;,;,;
Entrada/Salida Audio,;,;,;
Slot SD,;,;,;
WIFI,;,;,;
Exterior,IP67,IP67,IP67
Grado de Protección,,,
Antivandálica,;,IK10,;
Soporte Pared,DS-1272ZJ-110-TRS,DS-1273ZJ-140-DM45,DS-1273ZJ-130-TRL
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-DM45,DS-1280ZJ-M
Soporte Techo,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
"",,DS-2CE5AU1T-AVPIT3ZF(2.7-,DS-2CE79U7T-AIT3ZF(2.7-
"",DS-2CE76U1T-ITMF(2.8MM),,
"",,13.5MM),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx
"",HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD
Tecnología de Vídeo,,,
"",CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,30 m IR,60 m IR,60 m IR
Luz Blanca,;,;,;
WDR,Digital WDR,Digital WDR,130 dB
Iluminación Mínima,0.01lux,0.01lux,0.003lux
Análisis de Video,No,No,No
Entradas/Salidas de Alarma,;,;,;
Entrada/Salida Audio,;,;,;
Slot SD,;,;,;
WIFI,;,;,;
Exterior,IP67,IP67,IP67
Grado de Protección,,,
Antivandálica,;,IK10,;
Soporte Pared,DS-1272ZJ-110-TRS,DS-1273ZJ-140-DM45,DS-1273ZJ-130-TRL
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-DM45,DS-1280ZJ-M
Soporte Techo,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No
Alimentación,12 Vdc,12 Vdc / 24 Vac,12 Vdc / 24 Vac
Alto x Ancho x Profundo (cm),7.93 x 7.93 x 9.00,11.13 x 14.50 x 14.50,11.00 x 12.38 x 12.38
Peso (kg),0.31,0.86,0.61
Disponibilidad,C,C,C
"",,DS-2CE5AU1T-AVPIT3ZF(2.7-,DS-2CE79U7T-AIT3ZF(2.7-
"",DS-2CE76U1T-ITMF(2.8MM),,
"",,13.5MM),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo
Resolución,8 Mpx,8 Mpx,8 Mpx
"",HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD
Tecnología de Vídeo,,,
"",CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Motorizada,Motorizada
Distancia Focal,"2,8 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,30 m IR,60 m IR,60 m IR
Luz Blanca,;,;,;
WDR,Digital WDR,Digital WDR,130 dB
Iluminación Mínima,0.01lux,0.01lux,0.003lux
Análisis de Video,No,No,No
Entradas/Salidas de Alarma,;,;,;
Entrada/Salida Audio,;,;,;
Slot SD,;,;,;
WIFI,;,;,;
Exterior,IP67,IP67,IP67
Grado de Protección,,,
Antivandálica,;,IK10,;
Soporte Pared,DS-1272ZJ-110-TRS,DS-1273ZJ-140-DM45,DS-1273ZJ-130-TRL
Soporte Base,DS-1280ZJ-XS,DS-1280ZJ-DM45,DS-1280ZJ-M
Soporte Techo,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No
Alimentación,12 Vdc,12 Vdc / 24 Vac,12 Vdc / 24 Vac
Alto x Ancho x Profundo (cm),7.93 x 7.93 x 9.00,11.13 x 14.50 x 14.50,11.00 x 12.38 x 12.38
Peso (kg),0.31,0.86,0.61
Disponibilidad,C,C,C
"",,,DS-2AE5225TI-,DS-2AE5232T-,
"",,DS-2AE4225TI-D(E),,,
"",DS-2AE5225T-A3,,A(E)BRACKET,A(E)BRACKET,DS-2AE7232TI-A(D
"",,WITH BRACKETS,,,
"",,,INCLUDED,INCLUDED,
Aumentos,x25,x25,x25,x32,x32
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
LEDs,;,100 m IR,150 m IR,;,150 m IR
"",,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",HD - TVI,,,,
"",,AHD,AHD,AHD,AHD
Tecnología de Vídeo,AHD,,,,
"",,CVBS,CVBS,CVBS,CVBS
"",CVBS,,,,
"",,HD - CVI,HD - CVI,HD - CVI,HD - CVI
Giro Continuo,;,;,;,;,;
WDR,Digital WDR,120 dB,120 dB,120 dB,120 dB
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,2e/1s,;,2e/1s,2e/1s,;
Exterior,;,IP66,IP66,IP66,IP66
Grado de Protección,,,,,
Antivandálica,;,;,;,IK10,IK10
Wiper,;,;,;,;,;
Anticorrosión,;,;,;,;,;
Slot SD,;,;,;,;,;
Soporte Pared,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ
Soporte Base,No,No,No,No,No
Soporte Techo,DS-1663ZJ,DS-1662ZJ,DS-1662ZJ,DS-1662ZJ,DS-1662ZJ
Soporte Poste,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE
Soporte Esquina,DS-1604ZJ-CORNER,DS-1602ZJ-Corner,DS-1602ZJ-Corner,DS-1602ZJ-Corner,DS-1602ZJ-Corner
Soporte Empotrado,No,No,No,No,No
Soporte Suspendido,No,No,No,No,No
Alimentación,24 Vac,12 Vdc,24 Vac,24 Vac,24 Vac
"",,,DS-2AE5225TI-,DS-2AE5232T-,
"",,DS-2AE4225TI-D(E),,,
"",DS-2AE5225T-A3,,A(E)BRACKET,A(E)BRACKET,DS-2AE7232TI-A(D
"",,WITH BRACKETS,,,
"",,,INCLUDED,INCLUDED,
Aumentos,x25,x25,x25,x32,x32
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
LEDs,;,100 m IR,150 m IR,;,150 m IR
"",,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",HD - TVI,,,,
"",,AHD,AHD,AHD,AHD
Tecnología de Vídeo,AHD,,,,
"",,CVBS,CVBS,CVBS,CVBS
"",CVBS,,,,
"",,HD - CVI,HD - CVI,HD - CVI,HD - CVI
Giro Continuo,;,;,;,;,;
WDR,Digital WDR,120 dB,120 dB,120 dB,120 dB
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,2e/1s,;,2e/1s,2e/1s,;
Exterior,;,IP66,IP66,IP66,IP66
Grado de Protección,,,,,
Antivandálica,;,;,;,IK10,IK10
Wiper,;,;,;,;,;
Anticorrosión,;,;,;,;,;
Slot SD,;,;,;,;,;
Soporte Pared,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ
Soporte Base,No,No,No,No,No
Soporte Techo,DS-1663ZJ,DS-1662ZJ,DS-1662ZJ,DS-1662ZJ,DS-1662ZJ
Soporte Poste,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE
Soporte Esquina,DS-1604ZJ-CORNER,DS-1602ZJ-Corner,DS-1602ZJ-Corner,DS-1602ZJ-Corner,DS-1602ZJ-Corner
Soporte Empotrado,No,No,No,No,No
Soporte Suspendido,No,No,No,No,No
Alimentación,24 Vac,12 Vdc,24 Vac,24 Vac,24 Vac
Alto x Ancho x,,,,,
Profundo (cm),24.30 x 15.60 x 15.60,29.50 x 16.40 x -,30.50 x 20.80 x -,32.60 x 15.60 x -,35.30 x 22.00 x -
Peso (kg),3.00,2.00,3.30,3.00,3.00
Disponibilidad,B,A,C,C,A
"",,,DS-2AE5225TI-,DS-2AE5232T-,
"",,DS-2AE4225TI-D(E),,,
"",DS-2AE5225T-A3,,A(E)BRACKET,A(E)BRACKET,DS-2AE7232TI-A(D
"",,WITH BRACKETS,,,
"",,,INCLUDED,INCLUDED,
Aumentos,x25,x25,x25,x32,x32
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
LEDs,;,100 m IR,150 m IR,;,150 m IR
"",,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",HD - TVI,,,,
"",,AHD,AHD,AHD,AHD
Tecnología de Vídeo,AHD,,,,
"",,CVBS,CVBS,CVBS,CVBS
"",CVBS,,,,
"",,HD - CVI,HD - CVI,HD - CVI,HD - CVI
Giro Continuo,;,;,;,;,;
WDR,Digital WDR,120 dB,120 dB,120 dB,120 dB
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,2e/1s,;,2e/1s,2e/1s,;
Exterior,;,IP66,IP66,IP66,IP66
Grado de Protección,,,,,
Antivandálica,;,;,;,IK10,IK10
Wiper,;,;,;,;,;
Anticorrosión,;,;,;,;,;
Slot SD,;,;,;,;,;
Soporte Pared,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ,DS-1604ZJ
Soporte Base,No,No,No,No,No
Soporte Techo,DS-1663ZJ,DS-1662ZJ,DS-1662ZJ,DS-1662ZJ,DS-1662ZJ
Soporte Poste,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE,DS-1604ZJ-POLE
Soporte Esquina,DS-1604ZJ-CORNER,DS-1602ZJ-Corner,DS-1602ZJ-Corner,DS-1602ZJ-Corner,DS-1602ZJ-Corner
Soporte Empotrado,No,No,No,No,No
Soporte Suspendido,No,No,No,No,No
Alimentación,24 Vac,12 Vdc,24 Vac,24 Vac,24 Vac
Alto x Ancho x,,,,,
Profundo (cm),24.30 x 15.60 x 15.60,29.50 x 16.40 x -,30.50 x 20.80 x -,32.60 x 15.60 x -,35.30 x 22.00 x -
Peso (kg),3.00,2.00,3.30,3.00,3.00
Disponibilidad,B,A,C,C,A
"",Descripción Corta,Disponibilidad
DS-1280ZJ-SD11,Base para instalación de superficie para cámaras domo 4” DS-2Dx,B
DS-1280ZJ-XS,Base para instalación de superficie para cámaras bullet,A
DS-1280ZJ-S,Base para instalación de superficie para cámaras bullet,A
DS-1280ZJ-M,Base para instalación de superficie para mini-domo. Medidas: Φ101mm,A
DS-1280ZJ-DM45,Base para instalación de superficie para cámaras minidomo,A
DS-1272ZJ-110-TRS,Soporte de pared para mini-domo con tapa adaptadora Ø110mm para torretas,C
"",Soporte de pared para minidomo con tapa adaptadora Ø130 para instalación en,
DS-1273ZJ-130-TRL,,B
"",superficie de torretas,
DS-1273ZJ-140-DM45,Soporte de pared para mini-domo con tapa adaptadora Ø140mm.,C
"",Soporte de pared con base de superficie para mini-domo con tapa adaptadora,
DS-1473ZJ-155B,,C
"",Ø155mm. Ø 155 × 243 × 300 mm,
"",Descripción Corta,Disponibilidad
DS-1603ZJ-POLE-P,Soporte de pared + accesorio de poste para PanoVu exterior,C
DS-1662ZJ,Soporte de montaje en techo para domos exterior. Φ116.5×500mm,B
"",Soporte de techo para mini-domo con tapa adaptadora Ø140mm. Diámetro,
DS-1271ZJ-140,,A
"",150mm. Longitud 565mm.,
"",Accesorio de esquina de acero inoxidable para cámaras bullet y soportes de,
DS-1276ZJ-SUS,,B
"",pared,
"",Accesorio de poste de acero inoxidable para cámaras bullet. Dimensiones:,
DS-1275ZJ-SUS,,A
"",127 × 46 x 250 mm,
DS-1602ZJ-CORNER,Soporte de pared + acc esquina esquina para domos exterior.,A
DS-1602ZJ-BOX-,,
"",Soporte de pared + acc esquina + base para domos PTZ exterior,B
CORNER,,
DS-1604ZJ-POLE,Soporte de pared + acc poste para domos PTZ exterior,A
"","Accesorio de montaje en techo, inclinado 15°. Cámaras domo diámetro",
DS-1281ZJ-DM23,,B
"",136cm,
"",,,,IDS-7204HUHI-M1-
"",IDS-7204HUHI-M1-X,IDS-7104HQHI-M1-S,IDS-7204HQHI-M1-XT,
"",,,,S(STD)(C)
"",HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD,AHD
Tecnología de Vídeo,CVBS,CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,HD - CVI
"",IP,IP,BNC,IP
No Canales Analógicos,4,4,4,4
Resolución Máxima,,,,
Analógica,8 Mpx,4 Mpx,4 Mpx,5 Mpx
No Canales IP,4,2,2,8
No Canales PoE,;,;,;,;
Resolución Máxima IP,8 Mpx,6 Mpx,6 Mpx,8 Mpx
"",,Hombre / Vehículo,,Hombre / Vehículo
Análisis de Video,Hombre / Vehículo,,No,
"",,Captura Facial,,VCA
Hombre/Vehículo,4ch,2ch,2ch,4ch
Detección Facial,2ch,1ch,1ch,1ch
Ancho de Banda,,,,
Grabación/Visualización,96 / 32,24 / 48,72 Mbps,24 / 48
"",HDMI,,,
"",,HDMI,HDMI,BNC
Salida de Vídeo,VGA,,,
"",,VGA,VGA,HDMI/VGA
"",BNC,,,
Entradas/Salidas de,,,,
Alarma,;,;,;,;
Interfaz de Red,1 x RJ45 10/100,1 x RJ45 10/100,1 x RJ45 10/100,1 x RJ45 10/100
Puerto Teclado,;,;,;,;
No Máximo HDDs,1,1,1,1
RAID,No Soportado,No Soportado,No Soportado,No Soportado
Fuente Redundante,;,;,;,;
Alimentación,12 Vdc,12 Vdc,"12 Vdc / 1,5 A",12 Vdc
Alto x Ancho x Profundo,,,,
"(cm)",4.80 x 31.90 x 23.50,4.50 x 20.00 x 20.00,4.80 x 31.90 x 24.40,4.50 x 24.20 x 31.50
Peso (kg),1.16,1.00,1.16,1.16
Disponibilidad,C,C,A+,C
"",IDS-7208HQHI-M1-,IDS-7208HQHI-,IDS-7208HUHI-M1-,IDS-7208HUHI-,IDS-7208HUHI-M2-
"",S(STD)(C),M1-XT,X-4A+8-4ALM,M2-X,X(STD)-4A+8-4AL
"",HD - TVI,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD,AHD,AHD
Tecnología de Vídeo,CVBS,CVBS,CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,HD - CVI,HD - CVI
"",IP,IP,BNC,IP,IP
No Canales,,,,,
Analógicos,8,8,16,8,8
Resolución Máxima,,,,,
Analógica,4 Mpx,4 Mpx,8 Mpx,8 Mpx,8 Mpx
No Canales IP,12,8,8,16,16
No Canales PoE,;,;,-,;,;
Resolución Máxima IP,6 Mpx,6 Mpx,8 Mpx,8 Mpx,8 Mpx
"",Hombre / Vehículo,,,Reconocimiento Facial,Reconocimiento Facial
Análisis de Video,,Hombre / Vehículo,Hombre / Vehículo,,
"",VCA,,,Hombre / Vehículo,Hombre / Vehículo
Hombre/Vehículo,4ch,4ch,8ch,8ch,8ch
Detección Facial,1ch,2ch,4ch,4ch,4ch
Ancho de Banda,,,,,
Grabación/,48 / 80,96 Mbps,256,128 / 128,128 / 128
Visualización,,,,,
"",,HDMI,,,
"",BNC,,HDMI,,HDMI
Salida de Vídeo,,VGA,,HDMI/VGA,
"",HDMI/VGA,,VGA,,VGA
"",,BNC,,,
Entradas/Salidas de,,,,,
Alarma,;,;,8e/4s,;,8e/4s
Interfaz de Red,1 x RJ45 10/100/1000,1 x RJ45 10/100,1 x RJ45 10/100/1000,1 x RJ45 10/100/1000,1 x RJ45 10/100/1000
Puerto Teclado,;,;,;,;,;
No Máximo HDDs,1,1,1,1,2
RAID,No Soportado,No Soportado,No Soportado,No Soportado,No Soportado
Fuente Redundante,;,;,;,;,-
Alimentación,12 Vdc,"12 Vdc / 1,5 A",12 Vdc / 2 A,12 Vdc,12 Vdc
Alto x Ancho x,,,,,
Profundo (cm),4.50 x 24.20 x 31.50,4.80 x 31.90 x 24.40,4.80 x 32.00 x 24.90,5.20 x 38.50 x 32.60,5.20 x 38.50 x 32.60
Peso (kg),1.78,1.78,2.00,2.00,2.00
Disponibilidad,C,A+,C,A,A
"",,,IDS-7216HUHI-,,,
"",IDS-7216HUHI-,IDS-7216HUHI-,,IDS-7316HQHI-,IDS-7316HUHI-,IDS-7216HQHI-
"",,,M2-X-,,,
"",M2-X,M2-S-4A+16-4,,M4-S,M4-S,M2-XT
"",,,4A+ALM16-4,,,
"",HD - TVI,,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",,HD - TVI,,,,
"",AHD,,AHD,AHD,AHD,AHD
Tecnología de,,AHD,,,,
Vídeo,CVBS,CVBS,CVBS,CVBS,CVBS,CVBS
"",HD - CVI,,HD - CVI,HD - CVI,HD - CVI,HD - CVI
"",,HD - CVI,,,,
"",IP,,IP,IP,IP,IP
No Canales,,,,,,
Analógicos,16,16,16,16,16,16
Resolución,,,,,,
Máxima Analógica,8 Mpx,5 Mpx,8 Mpx,4 Mpx,8 Mpx,;
No Canales IP,16,32,32,20,32,8
No Canales PoE,;,;,;,;,;,;
Resolución,,,,,,
Máxima IP,8 Mpx,6 Mpx,8 Mpx,6 Mpx,12 Mpx,6 Mpx
"",Reconocimiento,,,,,Reconocimiento
"",,Hombre / Vehículo,Reconocimiento,,,
"",Facial,,,,,Facial
Análisis de Video,,Detección de,Facial,Hombre / Vehículo,Hombre / Vehículo,
"",Hombre / Vehículo,,,,,Hombre / Vehículo
"",,Rostros,Hombre / Vehículo,,,
"",Captura Facial,,,,,Captura Facial
Hombre/Vehículo,8ch,4ch,8ch,4ch,8ch,8ch
Detección Facial,4ch,;,4ch,;,;,4ch
Ancho de Banda,,,,,,
Grabación/,256,96 / 32,256,112 / 128,320 / 256,256
Visualización,,,,,,
"",,,,,HDMI1/VGA,HDMI
"",BNC,BNC,HDMI,,,
Salida de Vídeo,,,,HDMI/VGA,BNC,VGA
"",HDMI/VGA,HDMI/VGA,VGA,,,
"",,,,,HDMI2,BNC
Entradas/Salidas,,,,,,
de Alarma,;,16e/4s,16e/4s,16e/4s,16e/4s,;
"",1 x RJ45,1 x RJ45,1 x RJ45,2 x RJ45,2 x RJ45,1 x RJ45
Interfaz de Red,,,,,,
"",10/100/1000,10/100/1000,10/100/1000,10/100/1000,10/100/1000,10/100/1000
Puerto Teclado,;,;,;,;,;,;
No Máximo HDDs,2,2,2,4,4,2
"",,,,,RAID 0,
"",,,,,RAID 1,
RAID,No Soportado,No Soportado,No Soportado,No Soportado,RAID 5,No Soportado
"",,,,,RAID 6,
"",,,,,RAID 10,
Fuente,,,,,,
Redundante,-,;,;,;,;,;
Alimentación,12 Vdc,12 Vdc,12 Vdc,220 Vac,220 Vac,12 Vdc
Alto x Ancho x,,4.80 x 38.00 x,,7.00 x 44.50 x,,4.80 x 32.00 x
Profundo (cm),5.20 x 38.50 x 31.50,32.00,5.20 x 38.50 x 31.50,39.00,7.10 x 44.50 x 40.00,38.00
Peso (kg),2.10,2.10,2.10,5.00,5.00,1.90
Disponibilidad,C,A,A,B,A,A
"",IDS-7232HQHI-M2-XT,IDS-7332HQHI-M4-S
"",HD - TVI,HD - TVI
"",AHD,AHD
Tecnología de Vídeo,CVBS,CVBS
"",HD - CVI,HD - CVI
"",IP,IP
No Canales Analógicos,32,32
Resolución Máxima Analógica,5 Mpx,4 Mpx
No Canales IP,24,48
No Canales PoE,;,;
Resolución Máxima IP,6 Mpx,6 Mpx
"",,LPR
Análisis de Video,Hombre / Vehículo,VCA
"",,POS
Hombre/Vehículo,8ch,;
Detección Facial,4ch,;
Ancho de Banda Grabación/Visualización,256,200 / 160
"",,HDMI1
"",HDMI,VGA
Salida de Vídeo,,
"",VGA,BNC
"",,HDMI2
Entradas/Salidas de Alarma,;,16e/4s
Interfaz de Red,1 x RJ45 10/100/1000,2 x RJ45 10/100/1000
Puerto Teclado,;,;
No Máximo HDDs,2,4
RAID,No Soportado,No Soportado
Fuente Redundante,;,;
Alimentación,12 Vdc,220 Vac
Alto x Ancho x Profundo (cm),5.20 x 38.50 x 32.60,7.10 x 44.50 x 40.00
Peso (kg),2.10,7.00
Disponibilidad,A,A
"",,Descripción Corta,Disponibilidad
"",DS-1006KI,"Teclado con joystick de 3 ejes, para control de DVRs y domos",C
"",,"Teclado IP con joystick de 3 ejes, para control de DVR/NVRs y domos motorizados",
"",DS-1200KI,,A
"",,"HIKVISION, pantalla LCD",
"",,"Teclado IP WiFi con joystick de 3 ejes, para control de DVR/NVRs y domos",
"",DS-1600KI(B),,A
"",,"HIKVISION, pantalla LCD de 10”, hasta 16ch visión directo, salida HDMI",
Hikvision,,,
Grabadores,,,
Accesorios,,,
"",,Descripción Corta,Disponibilidad
"",19” 1U 380,,
"",MOUNTING,19” 1U Soporte montaje para rack (DS-76XX),B
"",BRACKET,,
"",HCB-6000PH,HCB-7000PHA
Tipo de Cámara,Box analógica,Box analógica
Resolución,2 Mpx,4 Mpx
"",HD - TVI,
"",AHD,AHD
Tecnología de Vídeo,,
"",CVBS,CVBS
"",HD - CVI,
Tipo de Óptica,Sin Óptica,Sin Óptica
Distancia Focal,;,;
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,;,;
Luz Blanca,;,;
WDR,120 dB,Digital WDR
Iluminación Mínima,0.09lux,0.09lux
Análisis de Video,No,No
Entradas/Salidas de Alarma,1e/1s,1e/1s
Entrada/Salida Audio,;,;
Slot SD,;,;
WIFI,;,;
Exterior,;,;
Grado de Protección Antivandálica,;,;
Soporte Pared,No,No
Soporte Base,No,No
Soporte Techo,No,No
Soporte Poste,No,No
Soporte Esquina,No,No
Soporte Empotrado,No,No
Alimentación,220 Vac,12 Vdc / 24 Vac
Alto x Ancho x Profundo (cm),5.96 x 6.84 x 9.27,6.84 x 5.96 x 9.27
Peso (kg),0.19,0.19
Disponibilidad,A,C
"",HCO-6020R,HCO-6070R,HCO-6080R
Tipo de Cámara,Bullet,Bullet,Bullet
Resolución,2 Mpx,2 Mpx,2 Mpx
"",HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD
Tecnología de Vídeo,,,
"",CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Varifocal Manual,Motorizada
Distancia Focal,"4,0 mm","3,2 - 10 mm","3,2 - 10 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,30 m IR,30 m IR,30 m IR
Luz Blanca,;,;,;
WDR,120 dB,120 dB,120 dB
Iluminación Mínima,0.17lux,0.11lux,0.11lux
Análisis de Video,No,No,No
Entradas/Salidas de Alarma,;,;,;
Entrada/Salida Audio,;,;,;
Slot SD,;,;,;
WIFI,;,;,;
Exterior,IP66,IP66,IP66
Grado de Protección,,,
Antivandálica,;,IK10,IK10
Soporte Pared,No,No,No
Soporte Base,No,SBO-100B1,SBO-100B1
Soporte Techo,No,No,No
Soporte Poste,No,SBP-302PM,SBP-302PM
Soporte Esquina,No,No,No
Soporte Empotrado,No,No,No
Alimentación,12 Vdc,12 Vdc / 24 Vac,12 Vdc / 24 Vac
Alto x Ancho x Profundo (cm),7.80 x 7.80 x 25.98,8.70 x 832.00 x 25.98,8.70 x 7.80 x 25.98
Peso (kg),0.91,0.91,0.95
Disponibilidad,C,A,A
"",HCO-7020RA,HCO-7070RA
Tipo de Cámara,Bullet,Bullet
Resolución,4 Mpx,4 Mpx
"",AHD,AHD
Tecnología de Vídeo,,
"",CVBS,CVBS
Tipo de Óptica,Fija,Varifocal Manual
Distancia Focal,"4,0 mm","3,2 - 10 mm"
"Ángulo de Ajuste",3 ejes,3 ejes
LEDs,25 m IR,30 m IR
Luz Blanca,;,;
WDR,Digital WDR,Digital WDR
Iluminación Mínima,0.27lux,0.16lux
Análisis de Video,No,No
Entradas/Salidas de Alarma,;,;
Entrada/Salida Audio,;,;
Slot SD,;,;
WIFI,;,;
Exterior,IP66,IP66
Grado de Protección Antivandálica,IK10,IK10
Soporte Pared,No,No
Soporte Base,SBO-100B1,SBO-100B1
Soporte Techo,No,No
Soporte Poste,SBP-302PM,SBP-302PM
Soporte Esquina,No,No
Soporte Empotrado,No,No
Alimentación,12 Vdc,12 Vdc / 24 Vac
Alto x Ancho x Profundo (cm),7.00 x 7.00 x 24.60,7.80 x 8.32 x 25.98
Peso (kg),0.67,0.91
Disponibilidad,C,C
"",HCD-6020R,HCD-6070R,HCD-6080R,HCV-6070R,HCV-6080R
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",HD - TVI,HD - TVI,HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD,AHD,AHD
Tecnología de Vídeo,,,,,
"",CVBS,CVBS,CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI,HD - CVI,HD - CVI
Tipo de Óptica,Fija,Varifocal Manual,Motorizada,Varifocal Manual,Motorizada
