"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
"",,,,,,12 Vdc
Alimentación,12 Vdc,12 Vdc,12 Vdc,12 Vdc,12 Vdc,
"",,,,,,PoC at
Alto x Ancho x,,,,,,
Profundo (cm),6.40 x 9.80 x 9.80,6.54 x 8.34 x 8.34,6.76 x 8.94 x 8.94,6.82 x 8.95 x 8.95,7.93 x 9.00 x 9.00,9.80 x 10.90 x 10.9
Peso (kg),0.19,0.24,0.34,0.24,0.29,0.37
Disponibilidad,C,A,C,C,A,C
"",,,,DS-2CE79D0T-,DS-2CE5AD8T-
"",DS-2CE50D8T-,DS-2CE5AD0T-,DS-2CE79D0T-,,
"",,,,IT3ZF(2.7-13.5MM),VPIT3ZE(2.7-
"",VPITSZE(2.8-12MM),VPIT3F(2.7-13.5MM),VFIT3F(2.7-13.5MM),,
"",,,,(EU),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",,HD - TVI,HD - TVI,HD - TVI,
"",,AHD,AHD,AHD,
Tecnología de Vídeo,HD - TVI,,,,HD - TVI
"",,CVBS,CVBS,CVBS,
"",,HD - CVI,HD - CVI,HD - CVI,
Tipo de Óptica,Motorizada,Varifocal Manual,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,60 m IR,40 m IR,70 m IR,70 m IR,60 m IR
Luz Blanca,;,;,;,;,;
WDR,130 dB,Digital WDR,120 dB,120 dB,130 dB
Iluminación Mínima,0.0005lux,0.01lux,0.005lux,0.005lux,0.003lux
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Entrada/Salida Audio,;,;,;,;,;
Slot SD,;,;,;,;,;
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,IK10,IK10,;,;,IK10
Soporte Pared,DS-1272ZJ-120,DS-1273ZJ-140-DM45,DS-1273ZJ-130-TRL,DS-1273ZJ-130-TRL,No
Soporte Base,DS-1280ZJ-DM46,DS-1280ZJ-DM45,DS-1280ZJ-M,DS-1280ZJ-XS,DS-1280ZJ-DM45
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
"",,,,DS-2CE79D0T-,DS-2CE5AD8T-
"",DS-2CE50D8T-,DS-2CE5AD0T-,DS-2CE79D0T-,,
"",,,,IT3ZF(2.7-13.5MM),VPIT3ZE(2.7-
"",VPITSZE(2.8-12MM),VPIT3F(2.7-13.5MM),VFIT3F(2.7-13.5MM),,
"",,,,(EU),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",,HD - TVI,HD - TVI,HD - TVI,
"",,AHD,AHD,AHD,
Tecnología de Vídeo,HD - TVI,,,,HD - TVI
"",,CVBS,CVBS,CVBS,
"",,HD - CVI,HD - CVI,HD - CVI,
Tipo de Óptica,Motorizada,Varifocal Manual,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
LEDs,60 m IR,40 m IR,70 m IR,70 m IR,60 m IR
Luz Blanca,;,;,;,;,;
WDR,130 dB,Digital WDR,120 dB,120 dB,130 dB
Iluminación Mínima,0.0005lux,0.01lux,0.005lux,0.005lux,0.003lux
Análisis de Video,No,No,No,No,No
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Entrada/Salida Audio,;,;,;,;,;
Slot SD,;,;,;,;,;
WIFI,;,;,;,;,;
Exterior,IP67,IP67,IP67,IP67,IP67
Grado de Protección,,,,,
Antivandálica,IK10,IK10,;,;,IK10
Soporte Pared,DS-1272ZJ-120,DS-1273ZJ-140-DM45,DS-1273ZJ-130-TRL,DS-1273ZJ-130-TRL,No
Soporte Base,DS-1280ZJ-DM46,DS-1280ZJ-DM45,DS-1280ZJ-M,DS-1280ZJ-XS,DS-1280ZJ-DM45
Soporte Techo,No,No,No,No,No
Soporte Poste,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS,DS-1275ZJ-SUS
Soporte Esquina,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS,DS-1276ZJ-SUS
Soporte Empotrado,No,No,No,No,No
"",12 Vdc,,,,12 Vdc
Alimentación,,12 Vdc,12 Vdc,12 Vdc,
"",PoC af,,,,PoC af
Alto x Ancho x,,,,,
Profundo (cm),9.70 x 12.10 x 12.10,9.99 x 14.10 x 14.10,12.00 x 12.00 x 10.51,8.45 x 9.20 x 25.51,11.00 x 14.00 x 14.00
Peso (kg),0.57,0.80,0.68,0.65,1.60
"",,,,DS-2CE79D0T-,DS-2CE5AD8T-
"",DS-2CE50D8T-,DS-2CE5AD0T-,DS-2CE79D0T-,,
"",,,,IT3ZF(2.7-13.5MM),VPIT3ZE(2.7-
"",VPITSZE(2.8-12MM),VPIT3F(2.7-13.5MM),VFIT3F(2.7-13.5MM),,
"",,,,(EU),13.5MM)
Tipo de Cámara,Minidomo,Minidomo,Minidomo,Minidomo,Minidomo
Resolución,2 Mpx,2 Mpx,2 Mpx,2 Mpx,2 Mpx
"",,HD - TVI,HD - TVI,HD - TVI,
"",,AHD,AHD,AHD,
Tecnología de Vídeo,HD - TVI,,,,HD - TVI
"",,CVBS,CVBS,CVBS,
"",,HD - CVI,HD - CVI,HD - CVI,
Tipo de Óptica,Motorizada,Varifocal Manual,Motorizada,Motorizada,Motorizada
Distancia Focal,"2,8 - 12 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm","2,7 - 13,5 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes,3 ejes,3 ejes
